ShapeSize,#input,#output,#op,RealNdpxCost
4639344,0,1,1,515083
4639344,0,1,1,574994
4639344,0,1,1,789517
4639344,0,1,1,1054381
4194304,1,2,1,430493
4194304,1,2,1,430493
4194304,1,2,1,1504056
4194304,1,2,1,1506990
2359296,1,1,2,222199
2359296,1,1,2,218228
2007040,1,1,7,1731379
1605632,2,1,10,1385170
1572864,1,1,3,678607
1572864,1,1,3,679328
1572864,1,1,3,712575
1572864,1,1,3,728614
1572864,1,1,3,851221
1572864,1,1,3,909568
1572864,1,1,3,896864
1572864,1,1,2,1034425
1572864,1,1,2,823890
1505280,1,1,7,1298611
1505280,1,1,7,1298611
1505280,1,1,7,1298611
1505280,1,1,7,1298611
1204224,1,1,7,1038950
1179648,1,1,2,300880
1048576,0,2,1,94497
1048576,0,2,1,94497
1048576,1,1,1,95143
1048576,1,1,1,95143
1048576,2,1,1,112680
1048576,1,1,1,116484
1048576,1,1,1,116484
1048576,2,1,1,123520
1048576,2,1,1,123520
1048576,0,1,1,131617
1048576,0,1,1,131617
1048576,1,1,1,137862
1048576,1,1,1,137862
1048576,2,2,1,138780
1048576,2,2,1,138780
1048576,2,1,1,144631
1048576,1,1,1,146159
1048576,1,1,1,146159
1048576,1,1,1,146673
1048576,1,1,1,146673
1048576,1,1,1,147184
1048576,1,1,1,147184
1048576,1,1,1,178094
1048576,1,1,1,178094
1048576,1,1,1,223669
1048576,1,1,1,224355
1048576,1,1,1,224648
1048576,1,1,1,224745
1048576,1,1,1,224745
1048576,1,1,1,224890
1048576,1,1,1,225190
1048576,1,1,1,225190
1048576,1,1,1,225297
1048576,1,1,1,225297
1048576,1,1,1,229204
1048576,1,1,1,229204
1048576,1,1,1,229605
1048576,1,1,1,235947
1048576,1,1,1,237117
1048576,1,1,1,238216
1048576,1,1,1,246849
1048576,1,1,1,252704
1048576,7,3,6,1082483
1048576,11,1,32,684701
1048576,1,1,2,31475
903168,1,1,7,779290
802816,7,1,24,96778
802816,7,1,24,74425
802816,7,1,24,85924
802816,5,1,14,84384
802816,3,1,11,696039
802816,3,1,11,57182
802816,3,1,11,692736
802816,1,1,7,692736
802816,1,1,7,692736
802816,1,1,7,692736
802816,12,1,36,84783
802816,5,1,16,1731381
802816,2,1,10,692741
802816,2,1,10,692741
