ShapeSize,#input,#output,#op,RealNdpxCost
32,1,1,1,335
32,1,1,1,335
2580480,1,1,1,116245
188160,2,1,1,8775
188160,2,1,1,9172
451584,2,1,1,20695
451584,2,1,1,20610
301056,2,1,1,13845
301056,2,1,1,13848
301056,2,1,1,13845
602112,2,1,1,27368
602112,2,1,1,27368
2408448,2,1,1,108558
32,3,1,8,388
32,4,1,9,433
24192,2,1,4,3236
24192,4,4,9,7003
2580480,7,3,14,416072
32,9,8,38,804
9633792,8,1,36,1087202
9633792,5,2,23,2524958
9633792,8,1,36,1002660
9633792,5,2,23,2595487
4816896,6,1,20,373135
4816896,4,2,7,1194609
768,39,23,120,2286
128,23,22,124,1977
384,27,19,90,1623
64,12,11,50,1009
384,32,22,126,2179
64,26,22,124,2075
288,36,22,126,2279
64,14,16,75,1258
7225344,8,1,36,872664
7225344,5,2,23,1989277
2408448,6,1,20,239063
2408448,4,2,7,616588
10838016,9,1,37,1487667
10838016,5,2,23,3063245
10838016,9,1,37,1269072
10838016,5,2,23,2929560
2408448,7,1,21,264644
2408448,4,2,7,610818
2709504,8,1,36,343576
2709504,5,2,23,752126
602112,7,1,20,53487
602112,4,2,7,150340
3612672,8,1,36,443637
3612672,5,2,23,984396
3612672,9,1,37,443676
3612672,5,2,23,989905
602112,5,1,20,42536
602112,3,2,7,146061
3612672,9,1,37,477382
3612672,5,2,23,969626
3612672,8,1,37,360226
3612672,5,2,23,966062
602112,6,1,20,46379
602112,4,2,7,149254
903168,8,1,37,101371
903168,5,2,23,239146
301056,7,1,20,23747
301056,4,2,7,73925
1806336,9,1,37,218480
1806336,5,2,23,483690
1806336,9,1,37,239713
1806336,5,2,23,510712
301056,7,1,21,25549
301056,4,2,7,73977
1806336,9,1,37,211929
1806336,5,2,23,487504
1806336,9,1,37,242461
1806336,5,2,23,513526
301056,6,1,20,24253
301056,4,2,7,73851
1806336,9,1,37,220840
1806336,5,2,23,488291
1806336,9,1,37,253217
1806336,5,2,23,493652
301056,6,1,20,21752
301056,4,2,7,74680
640,15,8,40,958
1920,31,19,91,2153
1920,40,22,128,2467
320,32,24,117,1775
1152,31,19,91,1932
192,13,11,50,968
1152,40,22,128,2261
192,32,22,124,2148
768,15,8,40,985
768,40,22,128,2331
1806336,9,1,37,240753
1806336,5,2,23,496433
1806336,9,1,37,180568
1806336,5,2,23,472997
451584,7,1,20,43317
451584,4,2,7,112639
2709504,9,1,37,315356
2709504,5,2,23,706258
2709504,9,1,37,368386
2709504,5,2,23,757853
451584,6,1,20,35461
451584,4,2,7,111192
2709504,9,1,37,337605
2709504,5,2,23,733568
2709504,9,1,37,327376
2709504,5,2,23,744460
451584,7,1,20,38923
451584,4,2,7,112099
677376,9,1,37,73006
677376,5,2,23,179074
188160,7,1,21,17084
188160,4,2,7,47478
1128960,9,1,37,142157
1128960,5,2,23,301194
1128960,9,1,37,123836
1128960,5,2,23,304309
188160,7,1,20,15535
188160,4,2,7,45887
1128960,9,1,37,128742
1128960,5,2,23,300252
1128960,9,1,37,133000
1128960,5,2,23,298348
188160,7,1,21,15442
188160,4,2,7,46239
1128960,9,1,37,136720
1128960,5,2,23,309588
1128960,9,1,37,135388
1128960,5,2,23,299404
376320,8,1,21,34667
376320,4,2,7,92983
2560,15,8,40,1307
24192,3,1,4,3248
1505280,2,2,4,360845
376320,6,1,12,22337
376320,2,2,4,90328
1128960,2,2,4,270732
17280,1,1,1,1089
1128960,2,2,4,270627
188160,7,1,13,11088
188160,2,2,4,45145
1128960,2,2,4,270596
17280,1,1,1,1089
1128960,2,2,4,270748
188160,5,1,12,11028
188160,2,2,4,45145
1128960,2,2,4,270710
17280,1,1,1,1089
1128960,2,2,4,270675
188160,5,1,12,10607
188160,2,2,4,45145
677376,2,2,4,162536
10368,1,1,1,780
2709504,2,2,4,649484
451584,6,1,12,27634
451584,2,2,4,108716
2709504,2,2,4,649413
10368,1,1,1,780
2709504,2,2,4,649637
451584,5,1,12,25445
451584,2,2,4,108344
2709504,2,2,4,649455
10368,1,1,1,780
2709504,2,2,4,649603
451584,5,1,11,25037
451584,2,2,4,108244
1806336,2,2,4,433101
6912,1,1,1,621
1806336,2,2,4,433922
301056,5,1,12,17802
301056,2,2,4,72302
1806336,2,2,4,437376
6912,1,1,1,621
1806336,2,2,4,433167
301056,5,1,12,17626
301056,2,2,4,72242
1806336,2,2,4,436368
6912,1,1,1,621
1806336,2,2,4,433142
301056,6,1,13,17509
301056,2,2,4,72248
1806336,2,2,4,435220
6912,1,1,1,621
1806336,2,2,4,433139
301056,4,1,11,16066
301056,2,2,4,72269
903168,2,2,4,216657
3456,1,1,1,471
3612672,2,2,4,868796
602112,5,1,12,33712
602112,2,2,4,145324
3612672,2,2,4,865953
3456,1,1,1,471
3612672,2,2,4,869268
602112,5,1,12,34685
602112,2,2,4,144344
3612672,2,2,4,865957
3456,1,1,1,468
3612672,2,2,4,866014
602112,5,1,11,32329
602112,2,2,4,144327
2709504,2,2,4,655550
2592,1,1,1,428
10838016,2,2,4,2598547
2408448,6,1,13,158583
2408448,2,2,4,577434
10838016,2,2,4,2598090
2592,1,1,1,428
10838016,2,2,4,2603111
2408448,4,1,11,134760
2408448,2,2,4,579529
7225344,2,2,4,1732257
1728,1,1,1,391
28901376,2,2,4,6927234
4816896,4,1,11,269330
4816896,2,2,4,1154784
9633792,2,2,4,2309175
576,1,1,1,340
9633792,2,2,4,2309282
1024,1,1,1,340
3072,1,1,1,433
6144,1,1,1,587
6912,1,1,1,621
9216,1,1,1,725
6912,1,1,1,621
9216,1,1,1,725
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
24576,1,1,1,1415
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
73728,1,1,1,3623
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
184320,1,1,1,8591
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14110
614400,1,1,1,27911
819200,1,1,1,37112
819200,1,1,1,37112
614400,1,1,1,27911
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14111
184320,1,1,1,8592
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
73728,1,1,1,3623
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
24576,1,1,1,1415
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
9216,1,1,1,725
6912,1,1,1,621
9216,1,1,1,725
6912,1,1,1,621
6144,1,1,1,571
3072,1,1,1,449
1024,1,1,1,340
24192,3,1,3,3209
